time,altitude,velocity_smooth,grade_smooth
0,11.1,0.0,0.0
1,11.1,0.0,0.0
3,11.1,0.0,0.0
4,11.1,0.0,0.0
5,11.1,0.0,0.0
7,11.1,0.0,0.0
86,11.1,0.0,0.0
87,11.1,0.0,0.0
88,11.1,0.0,0.0
90,11.1,0.0,0.0
91,11.1,0.0,0.0
92,11.1,0.7,0.0
93,11.1,0.7,0.0
95,11.1,2.0,0.0
96,11.1,2.0,0.0
98,11.1,3.1,0.0
100,11.1,2.5,0.0
101,11.1,2.5,0.0
103,11.1,1.3,0.0
105,11.1,1.8,0.4
108,11.1,2.6,0.4
110,11.2,3.2,0.8
112,11.2,3.1,1.7
113,11.3,3.5,1.7
114,11.4,2.9,3.6
116,11.5,2.9,1.3
117,11.6,2.2,0.5
119,11.5,3.2,-0.4
120,11.5,3.5,-0.8
122,11.4,5.7,-0.7
123,11.3,6.0,-1.0
125,11.2,7.5,-1.2
127,11.0,7.3,-1.4
128,10.9,7.2,-1.7
130,10.6,6.9,-1.8
132,10.4,6.7,-2.0
133,10.3,6.6,-2.1
135,10.0,6.3,-2.2
136,9.8,6.4,-2.3
137,9.7,6.4,-2.3
139,9.4,6.5,-1.9
141,9.1,6.6,-2.0
143,9.0,5.8,-1.9
145,8.9,4.4,-1.4
146,8.9,2.8,-1.9
148,8.9,1.1,-1.9
149,8.9,0.9,-1.9
150,8.9,0.0,-1.9
152,8.9,0.0,0.0
153,8.9,0.0,0.0
154,8.9,0.0,0.0
156,8.9,0.0,0.0
158,8.9,0.0,0.0
160,8.9,0.0,0.0
190,8.9,0.1,0.0
192,8.9,0.3,0.0
193,8.9,0.5,-0.9
194,8.9,0.6,-2.0
195,8.7,0.6,-2.4
197,8.3,6.0,-2.2
198,8.2,5.8,-1.5
200,8.3,4.4,0.9
201,8.3,4.4,2.0
203,8.5,3.5,1.7
205,8.7,4.3,1.9
206,8.8,4.9,1.5
207,8.9,5.2,0.7
208,8.9,5.3,0.4
210,8.9,5.4,-0.4
211,8.9,5.1,-0.5
213,8.8,4.2,-0.8
215,8.8,2.5,-2.9
216,8.8,1.4,-2.9
218,8.7,0.0,-4.4
219,8.7,0.0,-2.9
221,8.7,0.0,-3.3
222,8.6,0.6,-2.9
224,8.6,0.9,-2.9
226,8.6,1.1,-1.9
228,8.6,0.6,-2.4
230,8.5,0.6,-2.4
231,8.5,0.7,-2.8
373,8.5,0.0,-2.5
374,8.4,0.0,-3.1
376,8.2,0.1,-3.1
377,7.8,0.2,-3.0
378,7.6,0.2,-2.9
380,7.1,0.2,-2.9
382,6.7,7.8,-2.6
383,6.4,8.1,-2.1
384,6.3,8.2,-0.5
386,6.0,8.6,0.1
391,6.3,8.3,0.9
392,6.5,7.9,1.8
394,7.0,7.6,3.7
395,7.2,7.5,3.8
396,7.5,6.4,3.8
398,7.9,6.2,4.2
399,8.1,5.9,3.7
401,8.5,5.0,3.6
402,8.6,4.9,3.3
403,8.7,4.5,2.6
404,8.8,4.2,2.6
406,9.0,3.9,2.2
407,9.0,3.1,1.8
409,9.1,2.9,1.2
410,9.2,3.7,1.3
412,9.3,4.8,1.1
414,9.4,4.8,1.1
415,9.4,4.0,1.2
417,9.5,3.7,1.2
419,9.6,3.7,1.2
420,9.7,4.1,1.2
421,9.7,4.2,1.2
423,9.8,4.1,0.6
424,9.9,5.2,0.6
428,9.9,4.4,0.6
429,10.0,6.3,0.4
430,10.1,6.9,0.6
431,10.1,7.2,0.5
433,10.2,10.8,0.4
434,10.2,8.8,0.4
436,10.3,8.1,0.3
437,10.3,8.0,0.5
438,10.3,7.7,0.6
439,10.4,7.6,0.5
441,10.5,7.2,0.7
443,10.5,7.3,0.4
444,10.6,7.4,0.4
445,10.6,7.6,0.5
447,10.7,7.8,0.7
448,10.7,7.8,0.9
450,10.9,7.4,0.9
451,11.0,7.4,1.2
453,11.1,7.2,1.0
455,11.3,7.3,1.2
457,11.4,7.2,1.4
459,11.7,7.3,1.4
461,11.9,7.1,1.7
463,12.1,7.0,1.4
464,12.2,6.6,1.4
466,12.4,7.1,1.4
468,12.6,7.3,1.3
469,12.7,7.6,1.3
471,12.9,7.4,1.1
472,13.0,7.5,0.8
474,13.1,7.9,0.8
475,13.1,7.9,0.7
476,13.2,8.0,0.8
478,13.3,7.6,1.1
479,13.4,7.2,1.2
480,13.5,7.1,1.3
482,13.7,7.2,1.6
483,13.8,7.4,1.7
485,14.1,7.5,2.1
487,14.4,7.3,2.3
488,14.6,7.1,2.0
489,14.8,7.1,1.2
490,14.8,7.0,0.9
492,14.8,6.8,0.3
493,14.9,7.0,0.3
494,14.9,6.8,0.5
496,14.9,6.3,0.5
498,15.0,6.2,0.7
499,15.1,6.3,0.7
501,15.2,6.9,0.8
502,15.2,7.0,0.7
503,15.3,7.2,0.7
505,15.4,7.1,1.0
507,15.5,6.7,0.8
508,15.6,6.5,0.6
509,15.6,6.6,0.3
510,15.6,6.8,0.3
512,15.6,7.2,0.2
513,15.7,7.2,0.2
515,15.7,7.2,0.2
516,15.7,7.2,0.0
518,15.7,7.2,0.0
519,15.7,7.2,0.0
520,15.7,7.0,0.2
522,15.7,7.0,0.2
524,15.8,7.3,0.4
526,15.8,7.2,0.4
528,15.9,7.0,0.2
529,15.9,6.8,0.2
531,15.9,7.0,0.0
532,15.9,7.1,0.0
533,15.9,7.3,0.0
535,15.9,7.4,0.0
537,15.9,7.4,0.0
538,15.9,7.4,0.0
540,15.9,7.5,0.0
541,15.9,7.4,0.0
542,15.9,7.3,0.0
544,15.9,7.2,-0.2
545,15.9,7.0,-0.4
547,15.8,7.1,-0.6
549,15.7,7.5,-0.8
551,15.6,7.7,-0.8
553,15.4,7.6,-1.4
555,15.3,7.6,-1.8
557,14.8,8.3,-1.3
559,14.3,9.8,-1.3
561,14.3,11.0,0.0
562,14.3,11.3,1.1
564,14.8,10.6,1.9
565,15.0,10.4,2.2
566,15.2,9.6,1.9
568,15.5,9.2,1.6
570,15.8,8.4,1.2
571,15.8,8.3,1.0
573,15.9,8.4,0.5
574,16.0,8.4,0.5
575,16.0,8.5,0.3
576,16.0,8.6,0.0
577,16.0,8.6,0.0
579,16.0,8.8,0.0
580,16.0,8.9,0.0
581,16.0,8.8,0.0
582,16.0,8.7,0.0
584,16.0,8.5,0.0
586,16.0,8.4,-0.2
587,16.0,8.4,-0.2
588,15.9,8.4,-0.2
590,15.9,8.2,-0.2
591,15.9,8.2,0.2
592,15.9,8.5,0.4
593,16.0,8.8,0.4
595,16.1,9.0,0.4
596,16.1,9.0,0.2
598,16.1,8.2,0.0
599,16.1,8.1,0.0
601,16.1,7.5,0.0
602,16.1,7.6,0.0
604,16.1,7.7,-0.2
606,16.1,8.0,-0.2
608,16.0,8.0,-0.3
610,16.0,7.6,-0.5
612,15.9,7.1,-0.3
614,15.8,7.2,-0.3
616,15.8,7.7,-0.4
618,15.8,7.5,-0.2
619,15.7,7.2,-0.5
620,15.7,7.3,-0.6
622,15.6,6.7,-0.6
623,15.6,7.2,-0.6
624,15.5,7.2,-0.3
625,15.5,7.3,-0.3
626,15.5,7.3,-0.3
628,15.5,7.2,-0.2
629,15.4,7.2,-0.2
631,15.4,7.3,-0.2
633,15.4,7.5,0.0
634,15.4,7.5,0.0
636,15.4,7.5,0.0
638,15.4,7.8,0.2
640,15.4,7.8,0.2
641,15.5,7.9,0.2
643,15.5,7.7,0.3
644,15.5,7.7,0.0
645,15.5,7.8,0.3
646,15.5,7.7,0.2
648,15.6,7.8,0.2
650,15.6,7.4,0.2
651,15.6,7.2,0.2
653,15.6,6.8,0.2
654,15.7,6.9,0.2
656,15.7,6.8,0.2
658,15.7,6.7,0.0
660,15.7,6.4,-0.2
662,15.7,6.4,-0.3
663,15.6,6.5,-0.2
664,15.6,6.5,-0.5
666,15.6,6.7,-0.3
668,15.5,6.5,-0.5
669,15.5,6.6,-0.7
670,15.4,6.7,-0.7
672,15.3,6.7,-0.6
674,15.2,7.0,-0.4
676,15.2,7.3,-0.4
677,15.2,7.5,-0.4
679,15.1,7.3,-0.7
681,15.0,6.7,-0.6
683,14.9,6.3,-0.7
685,14.9,6.2,-0.5
686,14.8,6.2,-0.8
687,14.8,6.1,-0.8
689,14.6,6.3,-0.8
691,14.6,6.6,-0.7
692,14.5,6.9,-0.3
693,14.5,6.8,-0.3
694,14.5,6.7,0.0
696,14.5,6.4,0.0
697,14.5,6.4,-0.2
699,14.5,6.2,-0.4
701,14.4,6.7,-0.4
703,14.3,7.0,-0.2
704,14.3,7.5,0.4
706,14.4,7.4,0.7
708,14.6,7.7,0.7
710,14.7,7.8,0.8
711,14.7,7.9,0.6
712,14.8,7.8,0.5
714,14.9,7.8,0.8
715,14.9,7.9,0.6
716,15.0,7.9,0.5
718,15.1,7.9,0.8
719,15.1,7.8,0.5
720,15.2,7.8,0.3
721,15.2,7.8,0.5
722,15.2,7.8,0.3
724,15.3,7.6,0.5
725,15.3,7.6,0.6
726,15.4,7.6,0.7
728,15.5,7.8,0.6
729,15.6,8.1,0.4
731,15.6,8.3,0.2
732,15.6,8.2,0.0
733,15.6,8.1,0.0
735,15.6,8.1,-0.2
736,15.6,8.1,-0.2
737,15.5,8.3,-0.5
738,15.5,8.3,-0.7
740,15.4,8.2,-0.8
741,15.3,8.2,-1.0
743,15.1,8.3,-1.3
744,15.0,8.5,-1.7
746,14.7,8.8,-2.2
747,14.4,9.0,-3.2
748,14.1,9.3,-4.1
750,13.2,9.4,-4.4
751,12.7,9.8,-4.8
752,12.2,10.0,-4.8
754,11.1,10.5,-4.9
755,10.5,11.2,-5.1
757,9.3,11.8,-5.3
758,8.6,11.9,-5.3
760,7.2,12.3,-5.4
762,5.9,12.6,-5.2
763,5.2,12.7,-4.7
764,4.6,12.8,-3.5
766,3.6,12.9,-2.5
768,3.2,12.8,-1.8
770,3.0,12.5,-0.6
771,3.0,12.2,-0.1
773,3.1,11.9,0.3
775,3.1,11.4,0.3
776,3.2,11.4,0.2
777,3.2,11.4,0.4
778,3.2,11.1,0.3
780,3.3,11.2,0.3
782,3.4,10.7,0.3
783,3.4,10.7,0.2
785,3.4,10.5,-0.2
786,3.4,10.5,-0.2
788,3.3,10.6,0.0
789,3.3,10.5,0.2
790,3.4,10.5,0.8
791,3.5,10.5,1.0
793,3.7,10.1,0.7
794,3.8,9.8,0.5
796,3.8,9.0,0.3
798,3.8,8.6,0.3
800,3.9,8.6,0.5
802,4.0,8.5,0.7
803,4.1,8.5,0.4
805,4.2,8.0,0.2
807,4.1,7.9,0.0
808,4.1,7.7,-0.2
810,4.1,8.1,0.2
811,4.1,8.2,0.4
813,4.2,8.4,0.6
814,4.3,8.3,0.6
816,4.4,8.0,0.7
817,4.4,7.8,0.5
819,4.5,7.0,0.5
820,4.5,7.0,0.5
822,4.6,7.0,0.2
823,4.6,7.0,0.4
825,4.6,7.6,0.3
826,4.7,7.6,0.2
827,4.7,7.6,0.3
829,4.7,7.7,-0.4
830,4.7,7.7,-0.6
832,4.5,7.8,-1.7
833,4.4,7.8,-2.3
835,3.9,8.0,-3.1
836,3.6,7.9,-3.3
838,3.0,8.0,-2.9
840,2.4,9.0,-2.1
841,2.3,9.5,-1.3
843,2.2,10.1,-0.3
844,2.2,10.0,-0.1
